Date,FOB_China,FOB_Japan
2025-01-01,570,560
2025-02-01,573,562
2025-03-01,575,565
2025-04-01,578,567
2025-05-01,580,570
2025-06-01,582,572
2025-07-01,584,574
2025-08-01,587,576
2025-09-01,589,579
2025-10-01,591,581
2025-11-01,593,583
2025-12-01,595,585
